Product_Name,Product_Type,Total_Score,EPEAT_Tier,Registered_On,Carbon_footprint
OptiPlex 3050 Micro,Desktop,20 of 51,Bronze,17/1/2019,258
OptiPlex 3050 SFF,Desktop,20 of 51,Bronze,17/1/2019,419
OptiPlex 3050 Tower,Desktop,20 of 51,Bronze,17/1/2019,432
OptiPlex 3060 Micro,Desktop,20 of 51,Bronze,17/1/2019,244
OptiPlex 3060 SFF,Desktop,20 of 51,Bronze,17/1/2019,414
OptiPlex 3060 Tower,Desktop,20 of 51,Bronze,12/6/2019,483
OptiPlex 3070 Micro,Desktop,30 of 44,Silver,1/6/2019,273
OptiPlex 3070 SFF,Desktop,32 of 48,Silver,1/6/2019,399
OptiPlex 3070 Tower,Desktop,32 of 48,Silver,1/6/2019,579
OptiPlex 3080 Micro (65W adapter),Desktop,34 of 44,Gold,15/9/2020,273
OptiPlex 3080 Micro (Silver),Desktop,31 of 44,Silver,15/9/2020,273
Optiplex 3080 SFF,Desktop,37 of 48,Gold,14/9/2020,430
Optiplex 3080 SFF (Silver),Desktop,34 of 48,Silver,15/9/2020,430
Optiplex 3080 Tower,Desktop,37 of 48,Gold,14/9/2020,483
Optiplex 3080 Tower (Silver),Desktop,34 of 48,Silver,14/9/2020,483
 OptiPlex 3090 Micro,Desktop,33 of 42,Gold,27/9/2021,260
OptiPlex 3090 Micro (Silver).,Desktop,32 of 44,Silver,27/9/2021,260
OptiPlex 3090 SFF,Desktop,36 of 48,Gold,27/9/2021,425
OptiPlex 3090 SFF (Silver),Desktop,34 of 48,Silver,27/9/2021,425
OptiPlex 3090 Tower,Desktop,36 of 48,Gold,27/9/2021,388
OptiPlex 3090 Tower (Silver),Desktop,34 of 48,Silver,27/9/2021,388
OptiPlex 3090 Ultra,Desktop,33 of 44,Gold,12/1/2021,210
OptiPlex 3090 Ultra(Silver),Desktop,31 of 44,Silver,12/1/2021,210
OptiPlex 3280 AIO,Integrated Desktop Computer,36 of 47,Gold,18/5/2020,365
OptiPlex 5050 Micro,Desktop,20 of 51,Bronze,17/1/2019,259
OptiPlex 5050 SFF,Desktop,20 of 51,Bronze,17/1/2019,411
OptiPlex 5050 Tower,Desktop,20 of 51,Bronze,17/1/2019,489
OptiPlex 5055 SFF,Desktop,20 of 51,Bronze,17/1/2019,436
OptiPlex 5055 Tower,Desktop,20 of 51,Bronze,17/1/2019,483
OptiPlex 5060 Micro,Desktop,20 of 51,Bronze,17/1/2019,262
OptiPlex 5060 SFF,Desktop,20 of 51,Bronze,17/1/2019,425
OptiPlex 5060 Tower,Desktop,20 of 51,Bronze,17/1/2019,501
OptiPlex 5070 Micro,Desktop,30 of 44,Silver,1/6/2019,272
OptiPlex 5070 SFF,Desktop,32 of 48,Silver,1/6/2019,406
OptiPlex 5070 Tower,Desktop,32 of 48,Silver,1/6/2019,575
OptiPlex 5080 Micro (Silver),Desktop,32 of 44,Silver,18/5/2020,263
OptiPlex 5080 Micro (90W & 130W adapter),Desktop,34 of 44,Gold,15/9/2020,263
OptiPlex 5080 SFF,Desktop,37 of 48,Gold,18/5/2020,398
OptiPlex 5080 SFF (Silver),Desktop,34 of 48,Silver,18/5/2020,398
