Server Name,Description,Carbon Footprint,Manufacturing,Transportation,Use,EoL,Product Weight,Product Lifetime,HDD/SSD Quantity,DRAM Capacity,Energy Demand (Yearly TEC),CPU Quantity,Type
PowerEdge C6420,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",6510,18.5,0.5,80.7,0.3,43.62,4,x4 2.5” HDD Blank,32GB,1242.6,2,Rack
PowerEdge C4140,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",6800,18.3,0.7,80.8,0.2,22.225,4,No Hard Drive,32GB,1325,2,Rack
PowerEdge C4130,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",12700,9.5,0.2,90.2,0.1,20.2,4,x1 200GB 1.8” SSD,16GB,2767.722,2,Rack
PowerEdge FC430,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",5680,27.7,1.8,70.2,0.3,3,4,x2 200GB SSD 1.8”,16GB,947.8,2,Blade
PowerEdge FC830,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8970,18.9,1.3,79.6,0.2,13,4,x2 300GB 2.5” HDD,32GB,1715.6,2,Bade
PowerEdge FC640,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",7460,21.7,1.4,76.8,0.1,6.4,4,x2 300GB 2.5” HDD,16GB,1370.1,2,Blade
PowerEdge FC630," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",6570,24.5,1.5,73.7,0.3,5.8,4,x2 300GB 2.5” HDD,16GB,1152.4,2,Blade
PowerEdge M830," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",9150,18.5,0.2,81.2,0.1,14.5,4,x2 300BG 2.5” HDD,64BG,770.396,4,Blade
PowerEdge M640," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",7000,23.7,3.6,72.2,0.5,6.4,4,x2 300GB 2.5” HDD,16GB,1370.1,2,Blade
PowerEdge M630," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",6180,25.3,1.4,73.1,0.2,5.8,4,x2 300GB 2.5” HDD,16GB,1152.4,2,Blade
PowerEdge R7515,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8990,8.5,0.3,0.3,0.2,36.3,4,X2 480GB 2.5” SSD,8GB ,1949.5,1,Rack
PowerEdge R740,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8640,15.2,0.4,84.3,0.1,26.3,4,"x2 300GB 2.5” HDD
x1 1TB 2.5” HDD",32GB,1760.3,2,Rack
PowerEdge R7425,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",11600,11.3,0.2,88.4,0.1,33.4,4,x4 1TB 2.5” HDD x2 300GB 2.5” HDD,32GB,2470.3,2,Rack
PowerEdge R7415,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8090,15.2,0.3,84.4,0.1,26.61,4,"x4 1TB 2.5” HDD
x2 300GB 2.5” HDD",8GB,1628.1,2,Rack
PowerEdge R6525,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",12700,5.7,0.2,94,0.1,21.8,4,"X1 480GB 2.5” SSD
X1 960GB 2.5” SSD",8GB,2872.4,2,Rack
PowerEdge R6515,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management. ",8160,8,0.2,91.7,0.1,16.75,4,X2 480GB 2.5” SSD ,8GB ,1782.2,1,Rack
PowerEdge R6415,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",6840,17.4,0.3,82.2,0.1,14.5,4,x4 1.2TB 2.5” HDD,16GB,1359.6,2,Rack
PowerEdge R940xa,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management. ",13200,5.9,0.3,93.6,0.2,56,4,X1 480GB 2.5” SSD ,16GB ,2950.8,1,Rack
PowerEdge R940,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",14100,9.8,0.4,89.6,0.2,44,4,"HDD/SSD Quantityx2 300GB 2.5” HDD
x4 2TB 2.5” HDD",64BG,3012.126,2,Rack
PowerEdge R930,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",13300,13.4,0.5,85.9,0.2,59,4,"x2 300GB 2.5” HDD
x4 2TB 2.5” HDD",256GB,2764.218,4,Rack
PowerEdge R840," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",15600,9.8,0.2,89.9,0.1,36.6,4,"x4 1TB 2.5” HDD
x2 300GB 2.5” HDD",128GB,3325.7,4,Rack
PowerEdge R830," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",12600,13.8,0.2,85.9,0.1,31.8,4,"x4 1TB 2.5” HDD
x2 300GB 2.5” HDD",256GB,2622.306,2,Rack
PowerEdge R740XD," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",9180,14.4,0.3,85.2,0.1,33.1,4,"x4 1TB 2.5” HDD
x2 120GB 2.5” SSD",32GB,1858.872,2,Rack
PowerEdge R730,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",7490,16.3,0.3,83.2,0.2,29.2,4,x4 300GB 2.5” HDD,16GB,1473.5,2,Rack
PowerEdge R730XD,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8970,14.5,0.3,85.1,0.1,29.5,4,"x2 300GB 2.5” HDD
x6 1TB 2.5” HDD",32GB,1813.32,2,Rack
PowerEdge R640," From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",7730,16.6,0.3,83,0.1,26.3,4,x4 300GB 2.5” HDD,32GB,1760.3,2,Rack
PowerEdge R630,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",7260,17.4,0.3,82.2,0.1,18.6,4,x4 1.2TB 2.5” HDD,16GB,1433.574,2,Rack
PowerEdge R540,"From design to end-of-life and everything in between, we work to improve the environmental impact of the products you purchase. As part of that process, we estimate the specific impacts throughout the lifecycle. This includes the contributions from materials, manufacturing, distribution, use and end-of-life management.",8230,15,0.3,84.6,0.1,25.4,4,x4 2TB 3.5” HDD,32GB,1636.368,2,Rack
